Estampa de tiempo;KPH;1DIAG;2DIAG;2AXI;3DIAG;4DIAG;Falla
23/04/2019 15:03;3600;0;0;0;0;0;OK
23/04/2019 15:03;3600;0;0;0;0;0;OK
23/04/2019 15:03;3600;0;0;0;0;0;OK
23/04/2019 15:03;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:34;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:35;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:36;3600;0;0;0;0;0;OK
23/04/2019 15:37;3600;0;0;0;0;0;OK
23/04/2019 15:37;3600;0;0;0;0;0;OK
23/04/2019 15:37;3600;0;0;0;0;0;OK
23/04/2019 15:37;3600;0;0;0;0;0;OK
23/04/2019 15:37;3600;0;0;0;0;0;OK
23/04/2019 15:37;3600;0;0;0;0;0;OK
23/04/2019 15:38;3600;0;0;0;0;0;OK
23/04/2019 15:39;3600;0;0;0;0;0;OK
23/04/2019 15:40;3600;0;0;0;0;0;OK
23/04/2019 15:41;3600;0;0;0;0;0;OK
23/04/2019 15:42;3600;0;0;0;0;0;OK
23/04/2019 15:43;3600;0;0;0;0;0;OK
23/04/2019 15:44;3600;0;0;0;0;0;OK
23/04/2019 15:45;3600;0;0;0;0;0;OK
23/04/2019 15:46;3600;0;0;0;0;0;OK
23/04/2019 15:47;3600;0;0;0;0;0;OK
23/04/2019 15:48;3600;0;0;0;0;0;OK
23/04/2019 15:49;3600;0;0;0;0;0;OK
23/04/2019 15:50;3600;0;0;0;0;0;OK
23/04/2019 15:51;3600;0;0;0;0;0;OK
23/04/2019 15:52;3600;0;0;0;0;0;OK
23/04/2019 15:53;3600;0;0;0;0;0;OK
23/04/2019 15:55;3600;0;0;0;0;0;OK
23/04/2019 15:56;3600;0;0;0;0;0;OK
23/04/2019 15:57;3600;0;0;0;0;0;OK
23/04/2019 15:58;3600;0;0;0;0;0;OK
23/04/2019 15:59;3600;0;0;0;0;0;OK
23/04/2019 16:00;3600;0;0;0;0;0;OK
23/04/2019 16:01;3600;0;0;0;0;0;OK
23/04/2019 16:01;3600;0;0;0;0;0;OK
23/04/2019 16:02;3600;0;0;0;0;0;OK
23/04/2019 16:03;3600;0;0;0;0;0;OK
23/04/2019 16:03;3600;0;0;0;0;0;OK
23/04/2019 16:03;3600;0;0;0;0;0;OK
23/04/2019 16:03;3600;0;0;0;0;0;OK
23/04/2019 16:03;3600;0;0;0;0;0;OK
23/04/2019 16:05;3600;0;0;0;0;0;OK
23/04/2019 16:05;3600;0;0;0;0;0;OK
23/04/2019 16:06;3600;0;0;0;0;0;OK
23/04/2019 16:07;3600;0;0;0;0;0;OK
23/04/2019 16:07;3600;0;0;0;0;0;OK
23/04/2019 16:08;3600;0;0;0;0;0;OK
23/04/2019 16:09;3600;0;0;0;0;0;OK
23/04/2019 16:10;3600;0;0;0;0;0;OK
23/04/2019 16:11;3600;0;0;0;0;0;OK
23/04/2019 16:12;3600;0;0;0;0;0;OK
23/04/2019 16:13;3600;0;0;0;0;0;OK
23/04/2019 16:14;3600;0;0;0;0;0;OK
23/04/2019 16:15;3600;0;0;0;0;0;OK
23/04/2019 16:16;3600;0;0;0;0;0;OK
23/04/2019 16:17;3600;0;0;0;0;0;OK
23/04/2019 16:18;3600;0;0;0;0;0;OK
23/04/2019 16:19;3600;0;0;0;0;0;OK
23/04/2019 16:21;3600;0;0;0;0;0;OK
23/04/2019 16:22;3600;0;0;0;0;0;OK
23/04/2019 16:23;3600;0;0;0;0;0;OK
23/04/2019 16:23;3600;0;0;0;0;0;OK
23/04/2019 16:23;3600;0;0;0;0;0;OK
23/04/2019 16:24;3600;0;0;0;0;0;OK
23/04/2019 16:24;3600;0;0;0;0;0;OK
23/04/2019 16:24;3600;0;0;0;0;0;OK
23/04/2019 16:24;3600;0;0;0;0;0;OK
23/04/2019 16:25;3600;0;0;0;0;0;OK
23/04/2019 16:25;3600;0;0;0;0;0;OK
23/04/2019 16:25;3600;0;0;0;0;0;OK
23/04/2019 16:25;3600;0;0;0;0;0;OK
23/04/2019 16:26;3600;0;0;0;0;0;OK
23/04/2019 16:26;3600;0;0;0;0;0;OK
23/04/2019 16:26;3600;0;0;0;0;0;OK
23/04/2019 16:26;3600;0;0;0;0;0;OK
23/04/2019 16:27;3600;0;0;0;0;0;OK
23/04/2019 16:27;3600;0;0;0;0;0;OK
23/04/2019 16:27;3600;0;0;0;0;0;OK
23/04/2019 16:27;3600;0;0;0;0;0;OK
23/04/2019 16:28;3600;0;0;0;0;0;OK
23/04/2019 16:28;3600;0;0;0;0;0;OK
23/04/2019 16:28;3600;0;0;0;0;0;OK
23/04/2019 16:28;3600;0;0;0;0;0;OK
23/04/2019 16:29;3600;0;0;0;0;0;OK
23/04/2019 16:29;3600;0;0;0;0;0;OK
23/04/2019 16:29;3600;0;0;0;0;0;OK
23/04/2019 16:29;3600;0;0;0;0;0;OK
23/04/2019 16:30;3600;0;0;0;0;0;OK
23/04/2019 16:30;3600;0;0;0;0;0;OK
23/04/2019 16:30;3600;0;0;0;0;0;OK
23/04/2019 16:30;3600;0;0;0;0;0;OK
23/04/2019 16:31;3600;0;0;0;0;0;OK
23/04/2019 16:31;3600;0;0;0;0;0;OK
23/04/2019 16:31;3600;0;0;0;0;0;OK
23/04/2019 16:31;3600;0;0;0;0;0;OK
23/04/2019 16:32;3600;0;0;0;0;0;OK
23/04/2019 16:32;3600;0;0;0;0;0;OK
23/04/2019 16:32;3600;0;0;0;0;0;OK
23/04/2019 16:33;3600;0;0;0;0;0;OK
23/04/2019 16:33;3600;0;0;0;0;0;OK
23/04/2019 16:33;3600;0;0;0;0;0;OK
23/04/2019 16:33;3600;0;0;0;0;0;OK
23/04/2019 16:34;3600;0;0;0;0;0;OK
23/04/2019 16:34;3600;0;0;0;0;0;OK
23/04/2019 16:34;3600;0;0;0;0;0;OK
23/04/2019 16:34;3600;0;0;0;0;0;OK
23/04/2019 16:35;3600;0;0;0;0;0;OK
23/04/2019 16:35;3600;0;0;0;0;0;OK
23/04/2019 16:35;3600;0;0;0;0;0;OK
